what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1442030804093
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1442030804093
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1442030804093
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1442030804094
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1442030804094
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1442030804094
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1442030804095
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1442030804095
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1442030804095
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1442030804096
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1442030804096
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1442030804097
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1442030804098
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1442030804098
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1442030804099
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1442030804099
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1442030804099
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1442030804100
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1442030804100
started,bundle,com.collabnet.subversion.merge,4.1.0,"com.collabnet.subversion.merge",1442030804101
started,bundle,org.tigris.subversion.clientadapter,1.10.3,"org.tigris.subversion.clientadapter",1442030804101
started,bundle,org.tigris.subversion.subclipse.core,1.10.7,"org.tigris.subversion.subclipse.core",1442030804102
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1442030804102
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1442030804102
started,bundle,org.tigris.subversion.subclipse.ui,1.10.8,"org.tigris.subversion.subclipse.ui",1442030804103
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1442030804103
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1442030804104
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1442030804104
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1442030804105
started,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1442030804105
os,sysinfo,,,"win32",1442030804107
arch,sysinfo,,,"x86",1442030804107
ws,sysinfo,,,"win32",1442030804107
locale,sysinfo,,,"en_AU",1442030804107
processors,sysinfo,,,"8",1442030804107
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1442030804107
java.runtime.version,sysinfo,,,"1.7.0_67-b01",1442030804107
java.specification.name,sysinfo,,,"Java Platform API Specification",1442030804107
java.specification.vendor,sysinfo,,,"Oracle Corporation",1442030804107
java.specification.version,sysinfo,,,"1.7",1442030804107
java.vendor,sysinfo,,,"Oracle Corporation",1442030804107
java.version,sysinfo,,,"1.7.0_67",1442030804107
java.vm.info,sysinfo,,,"mixed mode, sharing",1442030804107
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1442030804107
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1442030804107
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1442030804107
java.vm.specification.version,sysinfo,,,"1.7",1442030804107
java.vm.vendor,sysinfo,,,"Oracle Corporation",1442030804107
java.vm.version,sysinfo,,,"24.65-b04",1442030804107
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1442030804109
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442030804841
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1442030811850
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1442030817661
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1442030820688
started,bundle,org.eclipse.datatools.connectivity,1.2.2.v201105270956,"org.eclipse.datatools.connectivity",1442030824928
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.1.v201010211430,"org.eclipse.datatools.connectivity.ui",1442030824930
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.ui.dse",1442030824932
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1442030824971
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.2.2.v201104090305,"org.eclipse.datatools.connectivity.sqm.core",1442030825124
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.0.v201002281800,"org.eclipse.datatools.connectivity.sqm.core.ui",1442030825132
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1442030825276
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1442030825309
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1442030834334
closed,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1442030834349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442030863202
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442030871768
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.edit.text.openLocalFile",1442030871828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442030877340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442030879519
executed,command,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui.command.openTask",1442030879526
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442030923058
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442030924046
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1442030939039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1442030940076
